channel_name,date,cost,ihc,ihc_revenue,CPO,ROAS
Affiliate & Partnerships,2023-08-29,525.36,0.0,0.0,,0.0
Direct Traffic,2023-08-29,0.846,2.1799,87.245037,0.38809119684389193,103.12652127659574
FB & IG Ads,2023-08-29,10302.799,0.8966,50.095194,11490.964755743924,0.004862289752522591
Lead Generation,2023-08-29,1233.361,0.0,0.0,,0.0
Microsoft Ads,2023-08-29,206.205,0.0,0.0,,0.0
Newsletter & Email,2023-08-29,0.0,0.2984,28.465986,0.0,
Organic Traffic,2023-08-29,1.157,0.4387,35.581078,2.6373375883291543,30.75287640449438
Paid Search Brand,2023-08-29,2113.531,0.9395,64.48566100000001,2249.6338477913782,0.03051086593951071
Paid Search Non Brand,2023-08-29,2069.844,0.0792,7.444800000000001,26134.393939393936,0.003596792801776366
Performance Max,2023-08-29,11782.176,0.5055,52.803462,23307.964391691396,0.004481639215031248
Referral,2023-08-29,0.0,0.0,0.0,,
Social Organic,2023-08-29,114.46,0.0,0.0,,0.0
TikTok Ads,2023-08-29,1139.15,0.0,0.0,,0.0
Untracked Conversions,2023-08-29,0.0,0.0,0.0,,
YouTube Ads,2023-08-29,0.0,0.0,0.0,,
Affiliate & Partnerships,2023-08-30,574.644,0.0,0.0,,0.0
Direct Traffic,2023-08-30,6.841,3.0072,204.55638,2.2748736366054803,29.901531939774884
FB & IG Ads,2023-08-30,10348.765,0.1463,11.408474000000002,70736.60287081338,0.0011023995616868294
Lead Generation,2023-08-30,1202.177,0.0,0.0,,0.0
Microsoft Ads,2023-08-30,218.84199999999998,0.0,0.0,,0.0
Newsletter & Email,2023-08-30,0.0,0.3556,37.044520000000006,0.0,
Organic Traffic,2023-08-30,0.073,0.3258,24.515244,0.22406384284837325,335.8252602739726
Paid Search Brand,2023-08-30,1815.9750000000001,1.4602,108.91403,1243.648130393097,0.05997551177741984
Paid Search Non Brand,2023-08-30,1967.281,0.0,0.0,,0.0
Performance Max,2023-08-30,12769.342,1.6774,92.793638,7612.580183617503,0.007266908349701966
Referral,2023-08-30,0.0,0.0,0.0,,
Social Organic,2023-08-30,170.52,0.0,0.0,,0.0
TikTok Ads,2023-08-30,1111.454,0.0,0.0,,0.0
Untracked Conversions,2023-08-30,0.0,0.0,0.0,,
